(1/5) Starting Filesystem Observer
(2/5) Starting Database
(3/5) Starting Workers
(4/5) Starting Simulations
(5/5) Starting Deleter
Solving conduit eqtn.
Solving conduit eqtn.
 Time interval:  [0,600]
 Time interval:  [0,600]
Time = 0, inc = 1/600
Time = 0, inc = 1/600
Time = 1.0017, inc = 2/600, computation time left = 0d 1h 23m 30.1908s
Time = 1.0017, inc = 2/600, computation time left = 0d 2h 51m 36.8496s
Time = 2.0033, inc = 3/600, computation time left = 0d 2h 16m 52.7776s
Time = 2.0033, inc = 3/600, computation time left = 0d 3h 21m 6.1445s
Time = 3.005, inc = 4/600, computation time left = 0d 2h 44m 13.5473s
Time = 3.005, inc = 4/600, computation time left = 0d 3h 46m 34.93s
Time = 4.0067, inc = 5/600, computation time left = 0d 3h 1m 7.7779s
Time = 4.0067, inc = 5/600, computation time left = 0d 3h 51m 57.6715s
Time = 5.0083, inc = 6/600, computation time left = 0d 3h 13m 49.4442s
Time = 5.0083, inc = 6/600, computation time left = 0d 3h 49m 0.8296s
Time = 6.01, inc = 7/600, computation time left = 0d 3h 33m 7.8006s
Time = 6.01, inc = 7/600, computation time left = 0d 4h 5m 17.0905s
Time = 7.0117, inc = 8/600, computation time left = 0d 3h 35m 54.3767s
Time = 7.0117, inc = 8/600, computation time left = 0d 4h 6m 50.4572s
Time = 8.0134, inc = 9/600, computation time left = 0d 3h 39m 14.4896s
Time = 8.0134, inc = 9/600, computation time left = 0d 4h 2m 25.9643s
Time = 9.015, inc = 10/600, computation time left = 0d 3h 52m 41.1202s
Time = 9.015, inc = 10/600, computation time left = 0d 4h 0m 43.1503s
Time = 10.0167, inc = 11/600, computation time left = 0d 4h 2m 25.7979s
Time = 10.0167, inc = 11/600, computation time left = 0d 4h 3m 1.2929s
Time = 11.0184, inc = 12/600, computation time left = 0d 3h 57m 59.6039s
Time = 11.0184, inc = 12/600, computation time left = 0d 4h 8m 38.3311s
Time = 12.02, inc = 13/600, computation time left = 0d 3h 58m 25.7894s
Time = 12.02, inc = 13/600, computation time left = 0d 4h 10m 29.2845s
Time = 13.0217, inc = 14/600, computation time left = 0d 4h 4m 29.8872s
Time = 13.0217, inc = 14/600, computation time left = 0d 4h 7m 59.0867s
Time = 14.0234, inc = 15/600, computation time left = 0d 4h 7m 40.5419s
Time = 14.0234, inc = 15/600, computation time left = 0d 4h 9m 12.8384s
Time = 15.025, inc = 16/600, computation time left = 0d 4h 9m 27.3043s
Time = 15.025, inc = 16/600, computation time left = 0d 4h 11m 12.4413s
Time = 16.0267, inc = 17/600, computation time left = 0d 4h 8m 27.9663s
Time = 16.0267, inc = 17/600, computation time left = 0d 4h 12m 12.7407s
Time = 17.0284, inc = 18/600, computation time left = 0d 4h 10m 5.3865s
Time = 17.0284, inc = 18/600, computation time left = 0d 4h 11m 3.7103s
Time = 18.0301, inc = 19/600, computation time left = 0d 4h 10m 45.402s
Time = 18.0301, inc = 19/600, computation time left = 0d 4h 11m 38.3898s
Time = 19.0317, inc = 20/600, computation time left = 0d 4h 10m 34.9661s
Time = 19.0317, inc = 20/600, computation time left = 0d 4h 13m 0.7982s
Time = 20.0334, inc = 21/600, computation time left = 0d 4h 10m 47.1254s
Time = 20.0334, inc = 21/600, computation time left = 0d 4h 12m 8.6402s
Time = 21.0351, inc = 22/600, computation time left = 0d 4h 9m 45.3228s
Time = 21.0351, inc = 22/600, computation time left = 0d 4h 15m 10.0413s
Time = 22.0367, inc = 23/600, computation time left = 0d 4h 7m 24.8235s
Time = 22.0367, inc = 23/600, computation time left = 0d 4h 13m 35.4686s
Time = 23.0384, inc = 24/600, computation time left = 0d 4h 10m 29.87s
Time = 23.0384, inc = 24/600, computation time left = 0d 4h 15m 42.7707s
Time = 24.0401, inc = 25/600, computation time left = 0d 4h 9m 10.2754s
Time = 24.0401, inc = 25/600, computation time left = 0d 4h 15m 46.0619s
Time = 25.0417, inc = 26/600, computation time left = 0d 4h 11m 23.111s
Time = 25.0417, inc = 26/600, computation time left = 0d 4h 14m 38.2721s
Time = 26.0434, inc = 27/600, computation time left = 0d 4h 11m 44.0864s
Time = 26.0434, inc = 27/600, computation time left = 0d 4h 16m 19.7908s
Time = 27.0451, inc = 28/600, computation time left = 0d 4h 9m 49.1625s
Time = 28.0467, inc = 29/600, computation time left = 0d 4h 7m 49.8995s
Time = 27.0451, inc = 28/600, computation time left = 0d 4h 18m 56.3698s
Time = 29.0484, inc = 30/600, computation time left = 0d 4h 7m 33.3985s
Time = 28.0467, inc = 29/600, computation time left = 0d 4h 21m 19.2693s
Time = 30.0501, inc = 31/600, computation time left = 0d 4h 7m 14.9077s
Time = 31.0518, inc = 32/600, computation time left = 0d 4h 6m 19.4002s
Time = 29.0484, inc = 30/600, computation time left = 0d 4h 23m 44.3825s
Time = 32.0534, inc = 33/600, computation time left = 0d 4h 6m 2.9017s
Time = 30.0501, inc = 31/600, computation time left = 0d 4h 24m 18.6386s
Time = 33.0551, inc = 34/600, computation time left = 0d 4h 6m 31.6135s
Time = 31.0518, inc = 32/600, computation time left = 0d 4h 24m 49.1358s
Time = 32.0534, inc = 33/600, computation time left = 0d 4h 21m 15.7136s
Time = 34.0568, inc = 35/600, computation time left = 0d 4h 9m 55.4508s
Time = 33.0551, inc = 34/600, computation time left = 0d 4h 17m 51.9772s
Time = 35.0584, inc = 36/600, computation time left = 0d 4h 8m 11.8107s
Time = 34.0568, inc = 35/600, computation time left = 0d 4h 17m 35.0928s
Time = 36.0601, inc = 37/600, computation time left = 0d 4h 6m 36.9391s
Time = 35.0584, inc = 36/600, computation time left = 0d 4h 18m 5.8218s
Time = 37.0618, inc = 38/600, computation time left = 0d 4h 7m 29.9055s
Time = 36.0601, inc = 37/600, computation time left = 0d 4h 18m 4.7382s
Time = 38.0634, inc = 39/600, computation time left = 0d 4h 7m 40.0295s
Time = 37.0618, inc = 38/600, computation time left = 0d 4h 16m 56.9556s
Time = 38.0634, inc = 39/600, computation time left = 0d 4h 15m 13.6954s
Time = 39.0651, inc = 40/600, computation time left = 0d 4h 9m 57.1243s
Time = 39.0651, inc = 40/600, computation time left = 0d 4h 10m 55.9842s
Time = 40.0668, inc = 41/600, computation time left = 0d 4h 8m 50.3534s
Time = 40.0668, inc = 41/600, computation time left = 0d 4h 11m 4.4796s
Time = 41.0684, inc = 42/600, computation time left = 0d 4h 6m 1.68s
Time = 42.0701, inc = 43/600, computation time left = 0d 4h 3m 9.2873s
Time = 43.0718, inc = 44/600, computation time left = 0d 4h 0m 22.7349s
Time = 41.0684, inc = 42/600, computation time left = 0d 4h 13m 50.1211s
Time = 44.0735, inc = 45/600, computation time left = 0d 3h 56m 27.3679s
Time = 45.0751, inc = 46/600, computation time left = 0d 3h 52m 54.0164s
Time = 46.0768, inc = 47/600, computation time left = 0d 3h 49m 13.8289s
Time = 47.0785, inc = 48/600, computation time left = 0d 3h 47m 41.6117s
Time = 42.0701, inc = 43/600, computation time left = 0d 4h 18m 7.7425s
Time = 48.0801, inc = 49/600, computation time left = 0d 3h 44m 39.4391s
Time = 49.0818, inc = 50/600, computation time left = 0d 3h 41m 31.4773s
Time = 50.0835, inc = 51/600, computation time left = 0d 3h 40m 12.4293s
Time = 43.0718, inc = 44/600, computation time left = 0d 4h 20m 41.1436s
Time = 51.0851, inc = 52/600, computation time left = 0d 3h 37m 56.9146s
Time = 52.0868, inc = 53/600, computation time left = 0d 3h 36m 37.4332s
Time = 53.0885, inc = 54/600, computation time left = 0d 3h 34m 28.9696s
Time = 44.0735, inc = 45/600, computation time left = 0d 4h 22m 29.9032s
Time = 54.0902, inc = 55/600, computation time left = 0d 3h 31m 41.3549s
Time = 55.0918, inc = 56/600, computation time left = 0d 3h 29m 38.6218s
Time = 56.0935, inc = 57/600, computation time left = 0d 3h 28m 22.0967s
Time = 45.0751, inc = 46/600, computation time left = 0d 4h 24m 40.1352s
Time = 57.0952, inc = 58/600, computation time left = 0d 3h 26m 15.6005s
Time = 58.0968, inc = 59/600, computation time left = 0d 3h 25m 22.9175s
Time = 46.0768, inc = 47/600, computation time left = 0d 4h 25m 41.3212s
Time = 59.0985, inc = 60/600, computation time left = 0d 3h 24m 26.3531s
Time = 60.1002, inc = 61/600, computation time left = 0d 3h 23m 24.979s
Time = 47.0785, inc = 48/600, computation time left = 0d 4h 26m 11.7539s
Time = 61.1018, inc = 62/600, computation time left = 0d 3h 22m 29.2126s
Time = 62.1035, inc = 63/600, computation time left = 0d 3h 21m 9.3818s
Time = 63.1052, inc = 64/600, computation time left = 0d 3h 18m 52.738s
Time = 48.0801, inc = 49/600, computation time left = 0d 4h 28m 17.8267s
Time = 64.1068, inc = 65/600, computation time left = 0d 3h 16m 58.9494s
Time = 65.1085, inc = 66/600, computation time left = 0d 3h 14m 49.9813s
Time = 66.1102, inc = 67/600, computation time left = 0d 3h 12m 59.4977s
Time = 67.1119, inc = 68/600, computation time left = 0d 3h 10m 59.9694s
Time = 68.1135, inc = 69/600, computation time left = 0d 3h 9m 38.1149s
Time = 69.1152, inc = 70/600, computation time left = 0d 3h 7m 42.23s
Time = 49.0818, inc = 50/600, computation time left = 0d 4h 33m 22.8057s
Time = 70.1169, inc = 71/600, computation time left = 0d 3h 6m 2.6775s
Time = 71.1185, inc = 72/600, computation time left = 0d 3h 4m 12.8592s
Time = 72.1202, inc = 73/600, computation time left = 0d 3h 3m 7.8279s
Time = 50.0835, inc = 51/600, computation time left = 0d 4h 35m 46.3813s
Time = 73.1219, inc = 74/600, computation time left = 0d 3h 2m 16.9765s
Time = 74.1235, inc = 75/600, computation time left = 0d 3h 1m 46.9459s
Time = 51.0851, inc = 52/600, computation time left = 0d 4h 35m 44.1533s
Time = 75.1252, inc = 76/600, computation time left = 0d 3h 0m 46.4634s
Time = 76.1269, inc = 77/600, computation time left = 0d 3h 0m 17.1081s
Time = 52.0868, inc = 53/600, computation time left = 0d 4h 36m 9.5713s
Time = 77.1285, inc = 78/600, computation time left = 0d 2h 59m 46.4883s
Time = 78.1302, inc = 79/600, computation time left = 0d 2h 59m 10.8716s
Time = 53.0885, inc = 54/600, computation time left = 0d 4h 36m 25.2067s
Time = 79.1319, inc = 80/600, computation time left = 0d 2h 58m 44.5476s
Time = 54.0902, inc = 55/600, computation time left = 0d 4h 34m 30.3972s
Time = 80.1336, inc = 81/600, computation time left = 0d 2h 59m 12.5276s
Time = 55.0918, inc = 56/600, computation time left = 0d 4h 32m 56.4039s
Time = 56.0935, inc = 57/600, computation time left = 0d 4h 31m 35.9212s
Time = 81.1352, inc = 82/600, computation time left = 0d 3h 0m 25.9353s
Time = 82.1369, inc = 83/600, computation time left = 0d 2h 58m 48.7932s
Time = 83.1386, inc = 84/600, computation time left = 0d 2h 57m 31.3231s
Time = 84.1402, inc = 85/600, computation time left = 0d 2h 56m 58.8798s
Time = 57.0952, inc = 58/600, computation time left = 0d 4h 34m 7.3751s
Time = 85.1419, inc = 86/600, computation time left = 0d 2h 57m 15.3542s
Time = 58.0968, inc = 59/600, computation time left = 0d 4h 32m 37.3072s
Time = 86.1436, inc = 87/600, computation time left = 0d 2h 57m 44.9464s
Time = 59.0985, inc = 60/600, computation time left = 0d 4h 31m 53.4721s
Time = 87.1452, inc = 88/600, computation time left = 0d 2h 57m 45.8219s
Time = 88.1469, inc = 89/600, computation time left = 0d 2h 56m 46.5981s
Time = 60.1002, inc = 61/600, computation time left = 0d 4h 32m 48.0442s
Time = 89.1486, inc = 90/600, computation time left = 0d 2h 56m 14.6479s
Time = 61.1018, inc = 62/600, computation time left = 0d 4h 32m 13.5683s
Time = 90.1503, inc = 91/600, computation time left = 0d 2h 55m 47.5042s
Time = 91.1519, inc = 92/600, computation time left = 0d 2h 54m 56.1254s
Time = 92.1536, inc = 93/600, computation time left = 0d 2h 54m 13.2069s
Time = 62.1035, inc = 63/600, computation time left = 0d 4h 33m 35.4094s
Time = 93.1553, inc = 94/600, computation time left = 0d 2h 52m 49.7063s
Time = 94.1569, inc = 95/600, computation time left = 0d 2h 51m 30.5838s
Time = 95.1586, inc = 96/600, computation time left = 0d 2h 50m 23.1007s
Time = 96.1603, inc = 97/600, computation time left = 0d 2h 49m 8.5555s
Time = 97.1619, inc = 98/600, computation time left = 0d 2h 47m 58.2653s
Time = 98.1636, inc = 99/600, computation time left = 0d 2h 47m 4.2026s
Time = 63.1052, inc = 64/600, computation time left = 0d 4h 36m 46.2697s
Time = 99.1653, inc = 100/600, computation time left = 0d 2h 45m 48.2955s
Time = 100.1669, inc = 101/600, computation time left = 0d 2h 44m 42.2066s
Time = 101.1686, inc = 102/600, computation time left = 0d 2h 43m 35.1997s
Time = 102.1703, inc = 103/600, computation time left = 0d 2h 42m 30.518s
Time = 103.172, inc = 104/600, computation time left = 0d 2h 41m 26.7235s
Time = 104.1736, inc = 105/600, computation time left = 0d 2h 40m 25.2709s
Time = 64.1068, inc = 65/600, computation time left = 0d 4h 40m 51.8513s
Time = 105.1753, inc = 106/600, computation time left = 0d 2h 39m 18.6411s
Time = 106.177, inc = 107/600, computation time left = 0d 2h 38m 12.5795s
Time = 107.1786, inc = 108/600, computation time left = 0d 2h 37m 53.8479s
Time = 65.1085, inc = 66/600, computation time left = 0d 4h 41m 53.3827s
Time = 108.1803, inc = 109/600, computation time left = 0d 2h 37m 11.1285s
Time = 109.182, inc = 110/600, computation time left = 0d 2h 36m 49.4305s
Time = 110.1836, inc = 111/600, computation time left = 0d 2h 36m 4.3646s
Time = 66.1102, inc = 67/600, computation time left = 0d 4h 42m 20.1113s
Time = 111.1853, inc = 112/600, computation time left = 0d 2h 35m 0.762s
Time = 112.187, inc = 113/600, computation time left = 0d 2h 34m 3.7309s
Time = 113.1886, inc = 114/600, computation time left = 0d 2h 33m 8.4273s
Time = 114.1903, inc = 115/600, computation time left = 0d 2h 32m 35.2063s
Time = 115.192, inc = 116/600, computation time left = 0d 2h 31m 43.8082s
Time = 67.1119, inc = 68/600, computation time left = 0d 4h 44m 30.3444s
Time = 68.1135, inc = 69/600, computation time left = 0d 4h 42m 38.4583s
Time = 116.1937, inc = 117/600, computation time left = 0d 2h 31m 46.4711s
Time = 117.1953, inc = 118/600, computation time left = 0d 2h 31m 51.5938s
Time = 69.1152, inc = 70/600, computation time left = 0d 4h 42m 6.6605s
Time = 118.197, inc = 119/600, computation time left = 0d 2h 31m 39.3846s
Time = 70.1169, inc = 71/600, computation time left = 0d 4h 41m 17.1272s
Time = 119.1987, inc = 120/600, computation time left = 0d 2h 31m 42.5169s
Time = 71.1185, inc = 72/600, computation time left = 0d 4h 40m 17.868s
Time = 120.2003, inc = 121/600, computation time left = 0d 2h 31m 57.2509s
Time = 72.1202, inc = 73/600, computation time left = 0d 4h 38m 42.9977s
Time = 121.202, inc = 122/600, computation time left = 0d 2h 32m 23.7643s
Time = 73.1219, inc = 74/600, computation time left = 0d 4h 37m 18.3365s
Time = 122.2037, inc = 123/600, computation time left = 0d 2h 32m 19.5007s
Time = 74.1235, inc = 75/600, computation time left = 0d 4h 36m 33.4477s
Time = 75.1252, inc = 76/600, computation time left = 0d 4h 35m 2.1607s
Time = 123.2053, inc = 124/600, computation time left = 0d 2h 33m 7.9215s
Time = 124.207, inc = 125/600, computation time left = 0d 2h 33m 16.145s
